ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
4755;F;340;RED-GREY;C06-04;2016;1;Y;1;1;3;0.770322991;0.220780515;0.564757773;0.207460928;0.905114717;0.237841353;0.268309679
4755;F;345;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.744549414;0.343003936;0.507620464;0.891175658;0.28747672;0.319636336;0
4756;M;325;RED-GREY;C06-04;2016;1;Y;1;#N/A;4;0.779667972;0.221740745;0.555260276;0.200034577;0.895755744;0.083160711;0.360478847
4756;M;340;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.855033203;0.302733335;0.388731552;0;0.962300982;0.12634985;0.225902408
4756;M;330;RED-GREY;C06-04;2017;3;Y;1;#N/A;4;0.722806981;0.162986584;0.663402484;0.257902115;0.735147494;0.5272333;0.331414134
4756;M;340;RED-GREY;C06-04;2017;4;Y;#N/A;#N/A;#N/A;0.825084325;0.14874494;0.527436464;0.855141924;0.053229791;0.420222791;0.294081045
4760;M;305;RED-GREY;C06-04;2016;1;Y;0;#N/A;2;0.612437194;0.270305868;0.712874585;0.176625447;0.856379831;0.24142394;0.413161744
4760;M;320;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.743426782;0.124339573;0.584220527;0.209546563;0.691272723;0.642767206;0.250169353
4818;F;290;RED-GREY;C06-04;2016;1;Y;1;1;3;0.219026543;0.311322563;0.816593047;0.712465728;0.17205453;0.43019719;0.416240418
4818;F;290;RED-GREY;C06-04;2017;2;Y;1;0;3;0.370278568;0.212079548;0.850257792;0.443993454;0.338011988;0.72264085;0.320329059
4853;M;360;RED-GREY;C03-17;2016;1;Y;1;#N/A;2;0.30926456;0.242319513;0.863772247;0.654904211;0;0.659424925;0.29766585
4853;M;340;RED-GREY;C03-17;2016;2;Y;#N/A;#N/A;#N/A;0.77538843;0.413298723;0.380064437;0.705341865;0.561222974;0.389024407;0.171842235
4853;M;370;RED-GREY;C03-17;2017;3;Y;0;#N/A;2;0.877668387;0.141669252;0.376732617;0.816373077;0;0.406097714;0.403843707
4854;M;340;RED-GREY;C06-04;2016;1;Y;1;#N/A;2;0.614659334;0.282502814;0.718707501;0.160925394;0.765086939;0.524382308;0.313005277
4854;M;350;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.87818036;0.114399316;0.463320557;0.083929473;0.919561324;0.379321056;0
4868;F;305;RED-GREY;C06-04;2016;1;Y;1;1;2;0.09683789;0.347439148;0.895643343;0.744088513;0.180530197;0.57252085;0.279654332
4868;F;315;RED-GREY;C06-04;2016;2;Y;#N/A;#N/A;#N/A;0.767610756;0.28487024;0.527314144;0.636546057;0;0.512164576;0.560030014
4871;F;370;RED-GREY;Sal-Passat;2016;1;Y;1;1;2;0.813346911;0.184097891;0.518444825;0.922239051;0;0.162647285;0.334675065
4871;F;340;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.806788952;0.404501487;0.334771624;0.750235438;0.602011101;0.126834403;0.238167399
4874;M;305;RED-GREY;C03-17;2016;1;Y;1;#N/A;3;0.558297153;0.619448837;0.550570423;0.314448474;0.831484138;0.226204088;0.356991318
4874;M;340;RED-GREY;C03-17;2017;2;Y;1;#N/A;3;0.734704564;0.145141921;0.638676588;0.194815727;0.845505398;0.325541344;0.36963105
4874;M;360;RED-GREY;C03-17;2017;3;Y;#N/A;#N/A;#N/A;0.823756509;0.112693042;0.50952;0.214685907;0.876614472;0.389829781;0.169808501
4984;M;275;RED;VAL;2016;1;N;0;#N/A;1;0.817499524;0.12952242;0.558344153;0.228165053;0.605640282;0.605822156;0.451927112
4991;M;305;RED;VAL;2016;1;Y;1;#N/A;3;0.836062529;0.163535877;0.458832433;0;0.860142102;0.07555703;0.485735176
4991;M;305;RED;VAL;2017;2;Y;1;#N/A;3;0.750389256;0.334441954;0.568293445;0.845073944;0;0.469346604;0.245343766
4991;M;325;RED;VAL;2017;3;Y;#N/A;#N/A;#N/A;0.932148173;0.083699099;0.335109079;0.834693491;0.136639194;0.413504845;0.317128665
4998;F;335;RED;VAL;2016;1;Y;1;1;3;0.575219249;0.246978751;0.757015523;0;0.88495105;0.150393637;0.434489758
4998;F;330;RED;VAL;2016;2;Y;#N/A;#N/A;#N/A;0.936423205;0.056494451;0.338710437;0;0.875127465;0;0.473796997
5015;F;300;RED;VAL;2017;1;N;1;1;3;0.843040123;0.181773698;0.488801335;0;0.973060751;0.204967154;0
5016;M;275;RED;VAL;2016;1;Y;1;#N/A;3;0.629830245;0.184539347;0.730499003;0;0.990299989;0;0
5016;M;255;RED;VAL;2016;2;Y;#N/A;#N/A;#N/A;0.773243163;0.072399328;0.624906362;0;0.895448922;0.242488025;0.358676276
5016;M;275;RED;VAL;2017;3;Y;1;#N/A;3;0.659838482;0.275763609;0.697482796;0.472258398;0.504915758;0.647707971;0.239692313
