number,Plant_ID,Flower_ID,Date_collected,Date_plated,Replicate,Nectar_cm,Nectar_mm,Nectar_vol,Stigma_closed,Fcfu1,Fcfu2,Fcfu3,Fcfu4,Fcfu5,Fcfu6,F_nontarget,Fcfu_avg,FCFU_total,FCFU_ul,log(FCFU+1),Bcfu1,Bcfu2,Bcfu3,Bcfu4,Bcfu5,Bcfu6,Bcfu_avg,BCFU_total,BCFUul,log(BCFU+1),,,,,,,,,,
65,LH9,65,6/23/15,6/24/15,1,1.4,14,1.694915254,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0.333333333,2,354.6354635,2.551005062,,,,,,,,,,
66,LH9,66,6/23/15,6/24/15,2,1.4,14,1.694915254,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
67,LH9,67,6/23/15,6/24/15,3,1.3,13,1.573849879,Yes,0,0,0,0,0,0,NA,0,0,0,0,5,0,0,0,0,0,0.833333333,5,947.8640172,2.977203978,,,,,,,,,,
68,LH9,68,6/23/15,6/24/15,4,1.9,19,2.300242131,Yes,3,0,0,0,0,0,NA,0.5,3,13.55144618,1.162906157,67,3,0,0,0,0,11.66666667,70,9477.474063,3.976738426,,,,,,,,,,
69,LH9,69,6/23/15,6/24/15,5,2.2,22,2.663438257,Yes,0,0,0,0,0,0,NA,0,0,0,0,173,5,0,0,0,0,29.66666667,178,21250.4705,4.327388987,,,,,,,,,,
70,LH9,70,6/23/15,6/24/15,6,1.4,14,1.694915254,Yes,0,0,0,0,0,0,NA,0,0,0,0,13,1,0,0,0,0,2.333333333,14,2482.448245,3.395055114,,,,,,,,,,
71,LH9,71,6/23/15,6/24/15,7,0.7,7,0.847457627,Yes,0,0,0,0,0,0,NA,0,0,0,0,27,6,3,0,0,0,6,36,12118.81188,4.083495879,,,,,,,,,,
72,LH9,72,6/23/15,6/24/15,8,0.6,6,0.726392252,Yes,19,6,3,0,0,0,2,4.666666667,28,364.0840841,2.5623929,5,3,0,0,0,0,1.333333333,8,3117.911791,3.494003092,,,,,,,,,,
73,LH10,73,6/23/15,6/24/15,1,0.5,5,0.605326877,Yes,12,0,0,0,0,0,NA,2,12,185.8018018,2.271381061,3,1,0,0,0,0,0.666666667,4,1856.345635,3.268892729,,,,,,,,,,
74,LH10,74,6/23/15,6/24/15,2,1.6,16,1.937046005,Yes,28,0,0,0,0,0,NA,4.666666667,28,147.042042,2.170385067,9,5,1,0,0,0,2.5,15,2361.048605,3.37328883,,,,,,,,,,
75,LH10,75,6/23/15,6/24/15,3,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
76,LH10,76,6/23/15,6/24/15,4,0.4,4,0.484261501,Yes,3,4,0,0,0,0,NA,1.166666667,7,134.4294294,2.131713049,2,0,0,0,0,0,0.333333333,2,1151.215122,3.061533571,,,,,,,,,,
77,LH10,77,6/23/15,6/24/15,5,2.5,25,3.026634383,Yes,111,0,0,0,0,0,NA,18.5,111,397.0666667,2.599955812,15,10,0,0,0,0,4.166666667,25,2680.468047,3.428372626,,,,,,,,,,
78,LH10,78,6/23/15,6/24/15,6,1.4,14,1.694915254,Yes,8,0,0,0,0,0,NA,1.333333333,8,47.32732733,1.684192778,4,0,0,0,0,0,0.666666667,4,709.2709271,2.851424038,,,,,,,,,,
79,LH10,79,6/23/15,6/24/15,7,0.5,5,0.605326877,Yes,14,0,0,0,0,0,NA,2.333333333,14,216.7687688,2.337995596,8,5,1,0,0,0,2.333333333,14,6497.209721,3.812793724,,,,,,,,,,
80,LH10,80,6/23/15,6/24/15,8,0.5,5,0.605326877,Yes,5,0,0,0,0,0,NA,0.833333333,5,77.41741742,1.894412535,4,0,0,0,0,0,0.666666667,4,1856.345635,3.268892729,,,,,,,,,,
81,LH11,81,6/23/15,6/24/15,1,0.7,7,0.847457627,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,1,336.6336634,2.528445741,,,,,,,,,,
82,LH11,82,6/23/15,6/24/15,2,0.7,7,0.847457627,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,1,336.6336634,2.528445741,,,,,,,,,,
83,LH11,83,6/23/15,6/24/15,3,2,20,2.421307506,Yes,0,0,0,0,0,0,NA,0,0,0,0,20,13,2,0,0,0,5.833333333,35,4533.30333,3.65651057,,,,,,,,,,
84,LH11,84,6/23/15,6/24/15,4,0.9,9,1.089588378,Yes,0,0,0,0,0,0,NA,0,0,0,0,20,0,0,0,0,0,3.333333333,20,5316.531653,3.725710084,,,,,,,,,,
85,LH11,85,6/23/15,6/24/15,5,2,20,2.421307506,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,1,129.5229523,2.115686889,,,,,,,,,,
86,LH11,86,6/23/15,6/24/15,6,0.1,1,0.121065375,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
87,LH11,87,6/23/15,6/24/15,7,1.1,11,1.331719128,Yes,9,0,0,0,0,0,NA,1.5,9,66.28992629,1.827950053,6,2,1,1,0,0,1.666666667,10,2207.675313,3.344131877,,,,,,,,,,
88,LH11,88,6/23/15,6/24/15,8,1.2,12,1.452784504,Yes,0,0,0,0,0,0,NA,0,0,0,0,8,5,4,0,0,0,2.833333333,17,3465.79658,3.539928359,,,,,,,,,,
89,LH12,89,6/23/15,6/24/15,1,0.6,6,0.726392252,Yes,76,0,0,0,0,0,NA,12.66666667,76,988.2282282,2.995296501,2,2,0,0,0,0,0.666666667,4,1558.955896,3.19311232,,,,,,,,,,
90,LH12,90,6/23/15,6/24/15,2,0.3,3,0.363196126,Yes,6,0,0,0,0,0,NA,1,6,152.4324324,2.18591717,2,0,0,0,0,0,0.333333333,2,1522.952295,3.182971372,,,,,,,,,,
91,LH12,91,6/23/15,6/24/15,3,1.2,12,1.452784504,Yes,1,0,0,0,0,0,NA,0.166666667,1,6.801801802,0.892194913,2,1,0,0,0,0,0.5,3,611.6111611,2.787184905,,,,,,,,,,
92,LH12,92,6/23/15,6/24/15,4,1.1,11,1.331719128,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
93,LH12,93,6/23/15,6/24/15,5,2.2,22,2.663438257,Yes,0,0,0,0,0,0,NA,0,0,0,0,10,2,0,0,0,0,2,12,1432.615989,3.156432836,,,,,,,,,,
94,LH12,94,6/23/15,6/24/15,6,0.3,3,0.363196126,Yes,3,0,0,0,0,0,NA,0.5,0.181598063,4.61357241,0.749239329,1,1,0,0,0,0,0.333333333,2,1522.952295,3.182971372,,,,,,,,,,
95,LH12,95,6/23/15,6/24/15,7,0.5,5,0.605326877,Yes,0,0,0,0,0,0,NA,0,0,0,0,4,0,0,0,0,0,0.666666667,4,1856.345635,3.268892729,,,,,,,,,,
96,LH12,96,6/23/15,6/24/15,8,1,10,1.210653753,Yes,0,0,0,0,0,0,NA,0,0,0,0,12,7,2,0,0,0,3.5,21,5061.926193,3.704401596,,,,,,,,,,
97,75,700,5/24/14,6/24/15,1,,0,0,,500,,,,,,,500,0,#DIV/0!,#DIV/0!,,,,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,
